id,tag_name,name,created_at,published_at,author_login,author_name,file_name
RE_kwDOFbrrk84E34T7,v1.0,Annotation_v1,2022-11-02T03:36:31Z,2022-11-02T03:40:03Z,akaraw,Anjana_CK,akaraw++swan_genome_annotation.csv
MDc6UmVsZWFzZTQ5ODA0Mjc=,bovine_ecoli_mastitis,Bovine E. coli mastitis comparative genomics edition,2016-12-21T14:22:35Z,2016-12-21T14:35:44Z,aleimba,Andreas Leimbach,aleimba++bac-genomics-scripts.csv
RE_kwDOLZah0M4IoD9q,v0.0.1,update build,2024-03-02T22:20:48Z,2024-03-04T20:38:14Z,aosmanski,Austin B. Osmanski,aosmanski++Genome_Cookbook.csv
MDc6UmVsZWFzZTExNTUwMTky,v1.0,,2018-03-23T13:36:38Z,2018-06-19T14:40:30Z,batlabucd,,batlabucd++GenomeMining.csv
RE_kwDOB7QJcs4LJeTE,v0.4.4,v0.4.4,2024-11-22T18:50:53Z,2024-11-22T18:50:54Z,github-actions[bot],,BioJulia++GenomicAnnotations.jl.csv
RE_kwDOB7QJcs4LIMJc,v0.4.3,v0.4.3,2024-11-21T17:04:27Z,2024-11-21T17:04:28Z,github-actions[bot],,BioJulia++GenomicAnnotations.jl.csv
RE_kwDOB7QJcs4LBX2o,v0.4.2,v0.4.2,2024-11-12T15:14:07Z,2024-11-12T15:14:08Z,github-actions[bot],,BioJulia++GenomicAnnotations.jl.csv
RE_kwDOB7QJcs4LBFkL,v0.4.1,v0.4.1,2024-11-12T09:36:27Z,2024-11-12T09:36:28Z,github-actions[bot],,BioJulia++GenomicAnnotations.jl.csv
RE_kwDOB7QJcs4KwjK0,v0.4.0,v0.4.0,2024-10-17T16:41:13Z,2024-10-17T16:41:14Z,github-actions[bot],,BioJulia++GenomicAnnotations.jl.csv
RE_kwDOB7QJcs4JkNgJ,v0.3.8,v0.3.8,2024-06-14T12:57:13Z,2024-06-14T12:57:14Z,github-actions[bot],,BioJulia++GenomicAnnotations.jl.csv
RE_kwDOB7QJcs4IsTQF,v0.3.7,v0.3.7,2024-03-11T13:12:38Z,2024-03-11T13:12:39Z,github-actions[bot],,BioJulia++GenomicAnnotations.jl.csv
RE_kwDOB7QJcs4IIEp_,v0.3.6,v0.3.6,2024-01-09T14:02:59Z,2024-01-09T14:02:59Z,github-actions[bot],,BioJulia++GenomicAnnotations.jl.csv
RE_kwDOB7QJcs4IGCIf,v0.3.5,v0.3.5,2024-01-04T10:13:16Z,2024-01-04T10:13:17Z,github-actions[bot],,BioJulia++GenomicAnnotations.jl.csv
RE_kwDOB7QJcs4IFen8,v0.3.4,v0.3.4,2024-01-03T09:59:59Z,2024-01-03T09:59:59Z,github-actions[bot],,BioJulia++GenomicAnnotations.jl.csv
RE_kwDOB7QJcs4HQvg9,v0.3.3,v0.3.3,2023-09-20T08:44:18Z,2023-09-20T08:44:19Z,github-actions[bot],,BioJulia++GenomicAnnotations.jl.csv
RE_kwDOB7QJcs4DYY6C,v0.3.2,v0.3.2,2022-01-10T10:13:10Z,2022-01-10T10:13:11Z,github-actions[bot],,BioJulia++GenomicAnnotations.jl.csv
RE_kwDOB7QJcs4DTldX,v0.3.1,v0.3.1,2021-12-16T15:47:38Z,2021-12-16T15:47:39Z,github-actions[bot],,BioJulia++GenomicAnnotations.jl.csv
MDc6UmVsZWFzZTQ0MjY0NjEx,v0.3.0,v0.3.0,2021-06-08T09:44:36Z,2021-06-08T09:44:37Z,github-actions[bot],,BioJulia++GenomicAnnotations.jl.csv
MDc6UmVsZWFzZTQyMjQ5MjI5,v0.2.3,v0.2.3,2021-04-30T07:40:24Z,2021-04-30T07:40:24Z,github-actions[bot],,BioJulia++GenomicAnnotations.jl.csv
MDc6UmVsZWFzZTQwOTg1NTI5,v0.2.2,v0.2.2,2021-04-06T09:34:18Z,2021-04-06T09:34:18Z,github-actions[bot],,BioJulia++GenomicAnnotations.jl.csv
MDc6UmVsZWFzZTQwNTI3MjUx,v0.2.1,v0.2.1,2021-03-26T09:04:12Z,2021-03-26T09:04:13Z,github-actions[bot],,BioJulia++GenomicAnnotations.jl.csv
